rank,fii_view,pro_view,count,percentage,top_to_down,ttd_pct,down_to_up,dtu_pct,avg_range_pct,avg_oc_pct,avg_range_ttd,avg_oc_ttd,avg_range_dtu,avg_oc_dtu
1,Neutral,Neutral,45,13.08,28,62.2,17,37.8,1.71,-0.43,1.83,-1.19,1.51,0.83
2,Neutral,Bearish,24,6.98,14,58.3,10,41.7,1.71,-0.37,1.8,-1.19,1.59,0.78
3,Bullish,Strong Bullish,24,6.98,16,66.7,8,33.3,1.46,-0.4,1.46,-1.04,1.44,0.88
4,Strong Bearish,Strong Bearish,22,6.4,13,59.1,9,40.9,1.53,-0.17,1.51,-0.89,1.55,0.85
5,Bearish,Strong Bearish,22,6.4,14,63.6,8,36.4,1.49,-0.36,1.62,-0.96,1.25,0.69
6,Neutral,Strong Bearish,19,5.52,6,31.6,13,68.4,1.42,0.33,1.41,-0.92,1.43,0.91
7,Neutral,Strong Bullish,18,5.23,10,55.6,8,44.4,1.59,-0.17,1.57,-1.13,1.62,1.02
8,Neutral,Bullish,16,4.65,10,62.5,6,37.5,1.89,-0.16,1.96,-1.09,1.77,1.39
9,Strong Bullish,Strong Bullish,14,4.07,7,50.0,7,50.0,1.91,-0.3,2.35,-1.44,1.48,0.83
10,Mildly Bearish,Strong Bearish,14,4.07,9,64.3,5,35.7,1.98,-0.49,2.06,-1.36,1.83,1.08
11,Neutral,Mildly Bearish,12,3.49,9,75.0,3,25.0,1.89,-0.73,1.91,-1.22,1.83,0.74
12,Mildly Bullish,Strong Bullish,10,2.91,7,70.0,3,30.0,1.71,-0.5,1.76,-1.21,1.6,1.15
13,Neutral,Mildly Bullish,9,2.62,6,66.7,3,33.3,2.04,-0.92,2.26,-1.85,1.6,0.94
14,Mildly Bearish,Neutral,7,2.03,5,71.4,2,28.6,1.57,-0.57,1.79,-0.94,1.04,0.38
15,Mildly Bullish,Bullish,7,2.03,4,57.1,3,42.9,1.81,-0.35,1.92,-1.27,1.66,0.89
16,Bearish,Bearish,7,2.03,4,57.1,3,42.9,1.57,-0.15,1.52,-1.27,1.64,1.34
17,Bullish,Bullish,7,2.03,3,42.9,4,57.1,1.53,0.24,1.63,-0.94,1.46,1.13
18,Mildly Bearish,Bearish,7,2.03,5,71.4,2,28.6,1.42,-0.24,1.33,-0.56,1.62,0.56
19,Bearish,Mildly Bearish,5,1.45,3,60.0,2,40.0,1.49,-0.37,1.61,-1.11,1.32,0.75
20,Mildly Bullish,Neutral,5,1.45,3,60.0,2,40.0,1.74,-0.57,1.81,-1.4,1.63,0.67
21,Strong Bearish,Neutral,4,1.16,3,75.0,1,25.0,1.5,-0.7,1.68,-1.15,0.95,0.64
22,Bearish,Neutral,4,1.16,2,50.0,2,50.0,1.68,-0.57,2.4,-1.78,0.97,0.64
23,Bullish,Strong Bearish,4,1.16,1,25.0,3,75.0,1.48,0.4,1.42,-0.83,1.5,0.81
24,Bullish,Mildly Bullish,3,0.87,0,0.0,3,100.0,1.54,1.13,0.0,0.0,1.54,1.13
25,Strong Bearish,Bearish,3,0.87,2,66.7,1,33.3,0.97,-0.3,1.01,-0.64,0.89,0.39
26,Mildly Bearish,Bullish,3,0.87,3,100.0,0,0.0,1.47,-0.62,1.47,-0.62,0.0,0.0
27,Mildly Bearish,Mildly Bullish,3,0.87,1,33.3,2,66.7,2.06,-0.01,2.95,-2.35,1.62,1.16
28,Bearish,Bullish,3,0.87,1,33.3,2,66.7,2.21,0.67,1.57,-1.12,2.52,1.56
29,Bullish,Neutral,2,0.58,0,0.0,2,100.0,1.16,0.54,0.0,0.0,1.16,0.54
30,Mildly Bullish,Mildly Bullish,2,0.58,0,0.0,2,100.0,1.48,1.29,0.0,0.0,1.48,1.29
31,Strong Bearish,Bullish,2,0.58,0,0.0,2,100.0,1.96,1.25,0.0,0.0,1.96,1.25
32,Mildly Bullish,Bearish,2,0.58,2,100.0,0,0.0,1.7,-1.1,1.7,-1.1,0.0,0.0
33,Mildly Bearish,Strong Bullish,2,0.58,1,50.0,1,50.0,1.91,-0.38,2.21,-1.37,1.61,0.62
34,Strong Bearish,Strong Bullish,2,0.58,2,100.0,0,0.0,1.46,-0.66,1.46,-0.66,0.0,0.0
35,Strong Bullish,Mildly Bullish,2,0.58,1,50.0,1,50.0,2.16,0.26,1.54,-1.36,2.78,1.87
36,Mildly Bullish,Mildly Bearish,2,0.58,1,50.0,1,50.0,2.04,-0.42,1.79,-1.49,2.29,0.66
37,Bullish,Mildly Bearish,1,0.29,0,0.0,1,100.0,1.44,0.01,0.0,0.0,1.44,0.01
38,Mildly Bullish,Strong Bearish,1,0.29,1,100.0,0,0.0,1.31,-0.92,1.31,-0.92,0.0,0.0
39,Bearish,Strong Bullish,1,0.29,0,0.0,1,100.0,1.59,0.81,0.0,0.0,1.59,0.81
40,Bearish,Mildly Bullish,1,0.29,0,0.0,1,100.0,1.22,0.68,0.0,0.0,1.22,0.68
41,Strong Bullish,Bearish,1,0.29,0,0.0,1,100.0,1.63,1.3,0.0,0.0,1.63,1.3
42,Strong Bullish,Bullish,1,0.29,1,100.0,0,0.0,0.95,-0.32,0.95,-0.32,0.0,0.0
43,Strong Bullish,Strong Bearish,1,0.29,0,0.0,1,100.0,0.93,0.56,0.0,0.0,0.93,0.56
