rank,fii_view,pro_view,total_days,days_above_1_5x,hit_rate_pct,avg_ratio,avg_range_pct,avg_oc_pct,ttd,ttd_pct,dtu,dtu_pct,above_avg_ratio,above_avg_range_pct,above_avg_oc_pct,above_ttd,above_ttd_pct,above_dtu,above_dtu_pct
1,Strong Bearish,Bullish,3,2,66.7,1.86,1.68,1.0,0,0.0,3,100.0,2.06,1.96,1.25,0,0.0,2,100.0
2,Bearish,Bullish,7,3,42.9,1.83,1.42,0.49,1,14.3,6,85.7,2.84,2.21,0.67,1,33.3,2,66.7
3,Strong Bearish,Strong Bullish,5,2,40.0,1.52,1.06,-0.27,4,80.0,1,20.0,2.16,1.46,-0.66,2,100.0,0,0.0
4,Mildly Bearish,Bullish,20,7,35.0,1.22,1.04,0.24,7,35.0,13,65.0,1.77,1.57,0.11,4,57.1,3,42.9
5,Strong Bearish,Neutral10,3,1,33.3,1.0,0.74,0.19,1,33.3,2,66.7,1.7,0.95,0.64,0,0.0,1,100.0
6,Bearish,Mildly Bullish,6,2,33.3,1.25,1.08,-0.21,4,66.7,2,33.3,1.66,1.68,-0.32,1,50.0,1,50.0
7,Strong Bearish,Bearish,9,3,33.3,1.13,0.87,-0.08,5,55.6,4,44.4,1.62,0.97,-0.3,2,66.7,1,33.3
8,Strong Bearish,Mildly Bearish,9,3,33.3,1.45,1.13,-0.55,7,77.8,2,22.2,2.2,1.68,-1.15,3,100.0,0,0.0
9,Mildly Bearish,Mildly Bullish,29,9,31.0,1.33,1.17,0.03,11,37.9,18,62.1,2.03,1.98,0.16,2,22.2,7,77.8
10,Mildly Bearish,Neutral10,20,6,30.0,1.16,1.02,0.07,9,45.0,11,55.0,1.94,1.6,-0.16,4,66.7,2,33.3
11,Mildly Bullish,Strong Bearish,30,9,30.0,1.3,0.92,0.03,13,43.3,17,56.7,1.99,1.32,0.14,3,33.3,6,66.7
12,Bearish,Neutral10,10,3,30.0,1.56,1.29,-0.18,5,50.0,5,50.0,2.26,1.53,-0.33,1,33.3,2,66.7
13,Bearish,Mildly Bearish,17,5,29.4,1.18,0.91,-0.15,11,64.7,6,35.3,2.01,1.49,-0.37,3,60.0,2,40.0
14,Neutral10,Bullish,18,5,27.8,1.22,1.02,-0.19,11,61.1,7,38.9,1.92,1.52,-0.52,4,80.0,1,20.0
15,Strong Bearish,Strong Bearish,80,22,27.5,1.32,1.02,-0.09,48,60.0,32,40.0,1.94,1.53,-0.17,13,59.1,9,40.9
16,Neutral10,Mildly Bearish,44,12,27.3,1.28,1.11,-0.02,23,52.3,21,47.7,2.0,1.63,-0.28,7,58.3,5,41.7
17,Bullish,Bullish,26,7,26.9,1.2,0.98,0.03,12,46.2,14,53.8,1.95,1.53,0.24,3,42.9,4,57.1
18,Mildly Bearish,Mildly Bearish,67,18,26.9,1.28,1.16,-0.28,38,56.7,29,43.3,2.04,1.78,-0.92,14,77.8,4,22.2
19,Mildly Bullish,Strong Bullish,77,20,26.0,1.28,1.06,-0.08,41,53.2,36,46.8,2.02,1.69,-0.32,13,65.0,7,35.0
20,Mildly Bearish,Bearish,70,18,25.7,1.25,1.09,-0.09,42,60.0,28,40.0,1.93,1.67,-0.41,12,66.7,6,33.3
21,Mildly Bullish,Bearish,32,8,25.0,1.29,1.01,0.02,14,43.8,18,56.2,2.13,1.64,-0.63,6,75.0,2,25.0
22,Bullish,Mildly Bullish,12,3,25.0,1.16,0.83,0.18,6,50.0,6,50.0,2.36,1.54,1.13,0,0.0,3,100.0
23,Mildly Bullish,Neutral10,24,6,25.0,1.17,1.14,0.01,9,37.5,15,62.5,1.86,1.88,-0.61,4,66.7,2,33.3
24,Strong Bullish,Bearish,4,1,25.0,1.22,0.88,0.34,1,25.0,3,75.0,2.09,1.63,1.3,0,0.0,1,100.0
25,Strong Bullish,Mildly Bullish,8,2,25.0,1.24,1.09,0.05,4,50.0,4,50.0,2.1,2.16,0.26,1,50.0,1,50.0
26,Neutral10,Bearish,29,7,24.1,1.22,1.1,0.2,7,24.1,22,75.9,1.87,1.6,-0.05,3,42.9,4,57.1
27,Mildly Bearish,Strong Bearish,92,22,23.9,1.34,1.1,-0.03,44,47.8,48,52.2,2.18,1.78,-0.29,13,59.1,9,40.9
28,Mildly Bullish,Mildly Bearish,38,9,23.7,1.2,1.07,-0.02,15,39.5,23,60.5,2.04,1.76,-0.71,6,66.7,3,33.3
29,Bullish,Strong Bearish,17,4,23.5,1.14,0.85,0.02,9,52.9,8,47.1,2.0,1.48,0.4,1,25.0,3,75.0
30,Neutral10,Neutral10,31,7,22.6,1.14,1.05,0.01,16,51.6,15,48.4,1.97,1.76,-0.09,4,57.1,3,42.9
31,Bullish,Neutral10,9,2,22.2,1.18,0.9,0.34,2,22.2,7,77.8,1.72,1.16,0.54,0,0.0,2,100.0
32,Bearish,Bearish,32,7,21.9,1.28,1.01,-0.14,18,56.2,14,43.8,2.08,1.57,-0.15,4,57.1,3,42.9
33,Bearish,Strong Bearish,102,22,21.6,1.25,1.02,-0.05,56,54.9,46,45.1,1.92,1.49,-0.36,14,63.6,8,36.4
34,Strong Bullish,Strong Bullish,75,16,21.3,1.25,0.98,-0.04,33,44.0,42,56.0,2.24,1.94,-0.44,9,56.2,7,43.8
35,Strong Bullish,Bullish,5,1,20.0,1.25,0.84,0.24,1,20.0,4,80.0,1.61,0.95,-0.32,1,100.0,0,0.0
36,Mildly Bearish,Strong Bullish,26,5,19.2,1.22,0.96,-0.1,11,42.3,15,57.7,2.46,1.87,-0.66,3,60.0,2,40.0
37,Mildly Bullish,Bullish,74,14,18.9,1.19,1.04,-0.07,39,52.7,35,47.3,2.23,2.05,-0.35,9,64.3,5,35.7
38,Bullish,Strong Bullish,129,24,18.6,1.15,0.87,-0.15,79,61.2,50,38.8,1.97,1.46,-0.4,16,66.7,8,33.3
39,Strong Bullish,Strong Bearish,6,1,16.7,1.05,0.79,0.07,3,50.0,3,50.0,1.63,0.93,0.56,0,0.0,1,100.0
40,Mildly Bullish,Mildly Bullish,60,10,16.7,1.15,1.08,0.0,28,46.7,32,53.3,1.96,1.63,-0.36,6,60.0,4,40.0
41,Neutral10,Mildly Bullish,40,6,15.0,1.17,1.09,-0.09,22,55.0,18,45.0,2.38,1.95,-0.83,4,66.7,2,33.3
42,Neutral10,Strong Bullish,35,5,14.3,1.11,0.91,0.08,17,48.6,18,51.4,1.8,1.28,0.18,2,40.0,3,60.0
43,Neutral10,Strong Bearish,24,3,12.5,1.17,0.88,0.13,15,62.5,9,37.5,1.96,1.7,1.26,0,0.0,3,100.0
44,Bearish,Strong Bullish,10,1,10.0,1.16,0.83,0.09,5,50.0,5,50.0,2.41,1.59,0.81,0,0.0,1,100.0
45,Bullish,Mildly Bearish,15,1,6.7,0.99,0.91,-0.07,8,53.3,7,46.7,1.52,1.44,0.01,0,0.0,1,100.0
46,Strong Bearish,Mildly Bullish,2,0,0.0,1.02,0.66,-0.02,1,50.0,1,50.0,0.0,0.0,0.0,0,0.0,0,0.0
47,Bullish,Bearish,3,0,0.0,1.04,1.0,0.13,1,33.3,2,66.7,0.0,0.0,0.0,0,0.0,0,0.0
48,Strong Bullish,Mildly Bearish,3,0,0.0,0.61,0.41,-0.08,2,66.7,1,33.3,0.0,0.0,0.0,0,0.0,0,0.0
49,Strong Bullish,Neutral10,1,0,0.0,0.98,0.85,-0.29,1,100.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
