rank,fii_view,pro_view,count,percentage,top_to_down,ttd_pct,down_to_up,dtu_pct,avg_range_pct,avg_oc_pct,avg_range_ttd,avg_oc_ttd,avg_range_dtu,avg_oc_dtu
1,Bullish,Strong Bullish,24,6.98,16,66.7,8,33.3,1.46,-0.4,1.46,-1.04,1.44,0.88
2,Strong Bearish,Strong Bearish,22,6.4,13,59.1,9,40.9,1.53,-0.17,1.51,-0.89,1.55,0.85
3,Bearish,Strong Bearish,22,6.4,14,63.6,8,36.4,1.49,-0.36,1.62,-0.96,1.25,0.69
4,Mildly Bearish,Strong Bearish,22,6.4,13,59.1,9,40.9,1.78,-0.29,1.81,-1.21,1.72,1.03
5,Mildly Bullish,Strong Bullish,20,5.81,13,65.0,7,35.0,1.69,-0.32,1.63,-1.17,1.81,1.25
6,Mildly Bearish,Bearish,18,5.23,12,66.7,6,33.3,1.67,-0.41,1.71,-1.03,1.59,0.82
7,Mildly Bearish,Mildly Bearish,18,5.23,14,77.8,4,22.2,1.78,-0.92,1.88,-1.25,1.41,0.23
8,Strong Bullish,Strong Bullish,16,4.65,9,56.2,7,43.8,1.94,-0.44,2.3,-1.43,1.48,0.83
9,Mildly Bullish,Bullish,14,4.07,9,64.3,5,35.7,2.05,-0.35,2.11,-1.31,1.96,1.37
10,Neutral10,Mildly Bearish,12,3.49,7,58.3,5,41.7,1.63,-0.28,1.8,-1.13,1.41,0.91
11,Mildly Bullish,Mildly Bullish,10,2.91,6,60.0,4,40.0,1.63,-0.36,1.75,-1.37,1.45,1.17
12,Mildly Bullish,Strong Bearish,9,2.62,3,33.3,6,66.7,1.32,0.14,1.58,-0.99,1.19,0.7
13,Mildly Bearish,Mildly Bullish,9,2.62,2,22.2,7,77.8,1.98,0.16,2.98,-2.64,1.7,0.95
14,Mildly Bullish,Mildly Bearish,9,2.62,6,66.7,3,33.3,1.76,-0.71,1.77,-1.4,1.73,0.68
15,Mildly Bullish,Bearish,8,2.33,6,75.0,2,25.0,1.64,-0.63,1.78,-1.06,1.23,0.66
16,Mildly Bearish,Bullish,7,2.03,4,57.1,3,42.9,1.57,0.11,1.58,-0.61,1.57,1.06
17,Neutral10,Neutral10,7,2.03,4,57.1,3,42.9,1.76,-0.09,1.94,-0.92,1.52,1.02
18,Neutral10,Bearish,7,2.03,3,42.9,4,57.1,1.6,-0.05,1.35,-1.0,1.79,0.65
19,Bullish,Bullish,7,2.03,3,42.9,4,57.1,1.53,0.24,1.63,-0.94,1.46,1.13
20,Bearish,Bearish,7,2.03,4,57.1,3,42.9,1.57,-0.15,1.52,-1.27,1.64,1.34
21,Neutral10,Mildly Bullish,6,1.74,4,66.7,2,33.3,1.95,-0.83,2.17,-1.58,1.52,0.68
22,Mildly Bullish,Neutral10,6,1.74,4,66.7,2,33.3,1.88,-0.61,2.01,-1.24,1.63,0.67
23,Mildly Bearish,Neutral10,6,1.74,4,66.7,2,33.3,1.6,-0.16,1.58,-0.76,1.64,1.06
24,Mildly Bearish,Strong Bullish,5,1.45,3,60.0,2,40.0,1.87,-0.66,2.16,-1.46,1.44,0.53
25,Bearish,Mildly Bearish,5,1.45,3,60.0,2,40.0,1.49,-0.37,1.61,-1.11,1.32,0.75
26,Neutral10,Strong Bullish,5,1.45,2,40.0,3,60.0,1.28,0.18,1.28,-0.76,1.28,0.8
27,Neutral10,Bullish,5,1.45,4,80.0,1,20.0,1.52,-0.52,1.62,-0.9,1.1,0.97
28,Bullish,Strong Bearish,4,1.16,1,25.0,3,75.0,1.48,0.4,1.42,-0.83,1.5,0.81
29,Strong Bearish,Mildly Bearish,3,0.87,3,100.0,0,0.0,1.68,-1.15,1.68,-1.15,0.0,0.0
30,Strong Bearish,Bearish,3,0.87,2,66.7,1,33.3,0.97,-0.3,1.01,-0.64,0.89,0.39
31,Neutral10,Strong Bearish,3,0.87,0,0.0,3,100.0,1.7,1.26,0.0,0.0,1.7,1.26
32,Bearish,Neutral10,3,0.87,1,33.3,2,66.7,1.53,-0.33,2.66,-2.26,0.97,0.64
33,Bullish,Mildly Bullish,3,0.87,0,0.0,3,100.0,1.54,1.13,0.0,0.0,1.54,1.13
34,Bearish,Bullish,3,0.87,1,33.3,2,66.7,2.21,0.67,1.57,-1.12,2.52,1.56
35,Bullish,Neutral10,2,0.58,0,0.0,2,100.0,1.16,0.54,0.0,0.0,1.16,0.54
36,Strong Bearish,Bullish,2,0.58,0,0.0,2,100.0,1.96,1.25,0.0,0.0,1.96,1.25
37,Strong Bearish,Strong Bullish,2,0.58,2,100.0,0,0.0,1.46,-0.66,1.46,-0.66,0.0,0.0
38,Strong Bullish,Mildly Bullish,2,0.58,1,50.0,1,50.0,2.16,0.26,1.54,-1.36,2.78,1.87
39,Bearish,Mildly Bullish,2,0.58,1,50.0,1,50.0,1.68,-0.32,2.14,-1.31,1.22,0.68
40,Bullish,Mildly Bearish,1,0.29,0,0.0,1,100.0,1.44,0.01,0.0,0.0,1.44,0.01
41,Bearish,Strong Bullish,1,0.29,0,0.0,1,100.0,1.59,0.81,0.0,0.0,1.59,0.81
42,Strong Bearish,Neutral10,1,0.29,0,0.0,1,100.0,0.95,0.64,0.0,0.0,0.95,0.64
43,Strong Bullish,Bearish,1,0.29,0,0.0,1,100.0,1.63,1.3,0.0,0.0,1.63,1.3
44,Strong Bullish,Bullish,1,0.29,1,100.0,0,0.0,0.95,-0.32,0.95,-0.32,0.0,0.0
45,Strong Bullish,Strong Bearish,1,0.29,0,0.0,1,100.0,0.93,0.56,0.0,0.0,0.93,0.56
