rank,fii_view,pro_view,total_days,days_above_1_5x,hit_rate_pct,avg_ratio,avg_range_pct,avg_oc_pct,ttd,ttd_pct,dtu,dtu_pct,above_avg_ratio,above_avg_range_pct,above_avg_oc_pct,above_ttd,above_ttd_pct,above_dtu,above_dtu_pct
1,Mildly Bearish,Mildly Bullish,4,3,75.0,1.96,1.76,0.16,1,25.0,3,75.0,2.12,2.06,-0.01,1,33.3,2,66.7
2,Mildly Bullish,Mildly Bearish,3,2,66.7,1.74,1.63,-0.06,1,33.3,2,66.7,2.3,2.04,-0.42,1,50.0,1,50.0
3,Strong Bearish,Bullish,3,2,66.7,1.86,1.68,1.0,0,0.0,3,100.0,2.06,1.96,1.25,0,0.0,2,100.0
4,Bearish,Mildly Bearish,11,5,45.5,1.33,1.0,-0.14,6,54.5,5,45.5,2.01,1.49,-0.37,3,60.0,2,40.0
5,Strong Bearish,Neutral,9,4,44.4,1.42,1.06,-0.38,6,66.7,3,33.3,2.08,1.5,-0.7,3,75.0,1,25.0
6,Bearish,Bullish,7,3,42.9,1.83,1.42,0.49,1,14.3,6,85.7,2.84,2.21,0.67,1,33.3,2,66.7
7,Mildly Bearish,Bullish,7,3,42.9,1.16,0.92,-0.19,4,57.1,3,42.9,1.74,1.47,-0.62,3,100.0,0,0.0
8,Strong Bearish,Strong Bullish,5,2,40.0,1.52,1.06,-0.27,4,80.0,1,20.0,2.16,1.46,-0.66,2,100.0,0,0.0
9,Strong Bullish,Mildly Bullish,5,2,40.0,1.45,1.37,-0.03,3,60.0,2,40.0,2.1,2.16,0.26,1,50.0,1,50.0
10,Bullish,Mildly Bullish,8,3,37.5,1.39,0.95,0.34,4,50.0,4,50.0,2.36,1.54,1.13,0,0.0,3,100.0
11,Mildly Bearish,Neutral,19,7,36.8,1.39,1.17,-0.16,9,47.4,10,52.6,1.98,1.57,-0.57,5,71.4,2,28.6
12,Strong Bearish,Bearish,9,3,33.3,1.13,0.87,-0.08,5,55.6,4,44.4,1.62,0.97,-0.3,2,66.7,1,33.3
13,Bearish,Mildly Bullish,3,1,33.3,1.09,0.76,0.09,2,66.7,1,33.3,1.63,1.22,0.68,0,0.0,1,100.0
14,Mildly Bearish,Strong Bullish,7,2,28.6,1.46,1.2,0.15,1,14.3,6,85.7,2.44,1.91,-0.38,1,50.0,1,50.0
15,Strong Bearish,Strong Bearish,80,22,27.5,1.32,1.02,-0.09,48,60.0,32,40.0,1.94,1.53,-0.17,13,59.1,9,40.9
16,Bullish,Bullish,26,7,26.9,1.2,0.98,0.03,12,46.2,14,53.8,1.95,1.53,0.24,3,42.9,4,57.1
17,Mildly Bullish,Bullish,26,7,26.9,1.29,1.1,-0.19,16,61.5,10,38.5,2.15,1.81,-0.35,4,57.1,3,42.9
18,Mildly Bearish,Strong Bearish,53,14,26.4,1.4,1.17,-0.09,25,47.2,28,52.8,2.27,1.98,-0.49,9,64.3,5,35.7
19,Neutral,Bearish,92,24,26.1,1.27,1.1,0.04,39,42.4,53,57.6,1.99,1.71,-0.37,14,58.3,10,41.7
20,Strong Bullish,Bearish,4,1,25.0,1.22,0.88,0.34,1,25.0,3,75.0,2.09,1.63,1.3,0,0.0,1,100.0
21,Mildly Bullish,Strong Bullish,40,10,25.0,1.3,1.02,-0.23,27,67.5,13,32.5,2.15,1.71,-0.5,7,70.0,3,30.0
22,Mildly Bearish,Bearish,29,7,24.1,1.24,1.06,-0.07,18,62.1,11,37.9,1.81,1.42,-0.24,5,71.4,2,28.6
23,Neutral,Mildly Bearish,50,12,24.0,1.28,1.15,-0.2,31,62.0,19,38.0,2.1,1.89,-0.73,9,75.0,3,25.0
24,Bullish,Strong Bearish,17,4,23.5,1.14,0.85,0.02,9,52.9,8,47.1,2.0,1.48,0.4,1,25.0,3,75.0
25,Neutral,Strong Bearish,82,19,23.2,1.25,0.96,0.09,41,50.0,41,50.0,2.0,1.42,0.33,6,31.6,13,68.4
26,Neutral,Neutral,194,45,23.2,1.19,1.08,-0.06,100,51.5,94,48.5,1.98,1.71,-0.43,28,62.2,17,37.8
27,Neutral,Mildly Bullish,39,9,23.1,1.29,1.22,-0.15,19,48.7,20,51.3,2.24,2.04,-0.92,6,66.7,3,33.3
28,Bearish,Bearish,32,7,21.9,1.28,1.01,-0.14,18,56.2,14,43.8,2.08,1.57,-0.15,4,57.1,3,42.9
29,Bearish,Strong Bearish,102,22,21.6,1.25,1.02,-0.05,56,54.9,46,45.1,1.92,1.49,-0.36,14,63.6,8,36.4
30,Bearish,Neutral,19,4,21.1,1.33,1.14,-0.23,12,63.2,7,36.8,2.12,1.68,-0.57,2,50.0,2,50.0
31,Neutral,Bullish,79,16,20.3,1.18,1.03,0.03,37,46.8,42,53.2,2.06,1.89,-0.16,10,62.5,6,37.5
32,Strong Bullish,Bullish,5,1,20.0,1.25,0.84,0.24,1,20.0,4,80.0,1.61,0.95,-0.32,1,100.0,0,0.0
33,Mildly Bullish,Mildly Bullish,10,2,20.0,1.06,1.06,0.41,2,20.0,8,80.0,1.7,1.48,1.29,0,0.0,2,100.0
34,Mildly Bullish,Bearish,10,2,20.0,1.14,0.87,-0.19,6,60.0,4,40.0,2.25,1.7,-1.1,2,100.0,0,0.0
35,Strong Bullish,Strong Bullish,70,14,20.0,1.23,0.96,0.01,29,41.4,41,58.6,2.27,1.91,-0.3,7,50.0,7,50.0
36,Neutral,Strong Bullish,91,18,19.8,1.18,0.98,0.02,41,45.1,50,54.9,1.96,1.59,-0.17,10,55.6,8,44.4
37,Bullish,Strong Bullish,129,24,18.6,1.15,0.87,-0.15,79,61.2,50,38.8,1.97,1.46,-0.4,16,66.7,8,33.3
38,Mildly Bullish,Neutral,28,5,17.9,1.06,0.99,-0.07,11,39.3,17,60.7,1.85,1.74,-0.57,3,60.0,2,40.0
39,Strong Bullish,Strong Bearish,6,1,16.7,1.05,0.79,0.07,3,50.0,3,50.0,1.63,0.93,0.56,0,0.0,1,100.0
40,Bullish,Mildly Bearish,8,1,12.5,0.95,0.88,-0.26,5,62.5,3,37.5,1.52,1.44,0.01,0,0.0,1,100.0
41,Bullish,Neutral,20,2,10.0,1.03,0.85,0.17,7,35.0,13,65.0,1.72,1.16,0.54,0,0.0,2,100.0
42,Bearish,Strong Bullish,10,1,10.0,1.16,0.83,0.09,5,50.0,5,50.0,2.41,1.59,0.81,0,0.0,1,100.0
43,Mildly Bullish,Strong Bearish,11,1,9.1,1.16,0.8,-0.14,6,54.5,5,45.5,2.08,1.31,-0.92,1,100.0,0,0.0
44,Strong Bearish,Mildly Bearish,5,0,0.0,1.07,0.83,-0.19,3,60.0,2,40.0,0.0,0.0,0.0,0,0.0,0,0.0
45,Mildly Bearish,Mildly Bearish,11,0,0.0,1.04,0.79,0.27,1,9.1,10,90.9,0.0,0.0,0.0,0,0.0,0,0.0
46,Bullish,Bearish,3,0,0.0,1.04,1.0,0.13,1,33.3,2,66.7,0.0,0.0,0.0,0,0.0,0,0.0
47,Strong Bullish,Mildly Bearish,1,0,0.0,0.56,0.45,0.06,0,0.0,1,100.0,0.0,0.0,0.0,0,0.0,0,0.0
48,Strong Bullish,Neutral,6,0,0.0,0.81,0.58,-0.01,4,66.7,2,33.3,0.0,0.0,0.0,0,0.0,0,0.0
