rank,fii_view,pro_view,total_days,days_above_1_5x,hit_rate_pct,avg_ratio,avg_range_pct,avg_oc_pct,ttd,ttd_pct,dtu,dtu_pct,above_avg_ratio,above_avg_range_pct,above_avg_oc_pct,above_ttd,above_ttd_pct,above_dtu,above_dtu_pct
40,Strong Bullish,Strong Bearish,6,1,16.7,1.05,0.79,0.07,3,50.0,3,50.0,1.63,0.93,0.56,0,0.0,1,100.0
41,Bullish,Neutral20,13,2,15.4,1.11,0.87,0.3,4,30.8,9,69.2,1.72,1.16,0.54,0,0.0,2,100.0
42,Mildly Bearish,Mildly Bearish,30,4,13.3,1.15,0.92,-0.05,12,40.0,18,60.0,1.9,1.33,-0.46,2,50.0,2,50.0
43,Mildly Bullish,Mildly Bullish,26,3,11.5,1.03,1.06,0.26,9,34.6,17,65.4,1.77,1.43,0.67,1,33.3,2,66.7
44,Bearish,Strong Bullish,10,1,10.0,1.16,0.83,0.09,5,50.0,5,50.0,2.41,1.59,0.81,0,0.0,1,100.0
45,Bullish,Mildly Bearish,12,1,8.3,0.99,0.92,-0.19,7,58.3,5,41.7,1.52,1.44,0.01,0,0.0,1,100.0
46,Strong Bearish,Mildly Bullish,1,0,0.0,0.93,0.56,0.11,0,0.0,1,100.0,0.0,0.0,0.0,0,0.0,0,0.0
47,Bullish,Bearish,3,0,0.0,1.04,1.0,0.13,1,33.3,2,66.7,0.0,0.0,0.0,0,0.0,0,0.0
48,Strong Bullish,Mildly Bearish,1,0,0.0,0.56,0.45,0.06,0,0.0,1,100.0,0.0,0.0,0.0,0,0.0,0,0.0
49,Strong Bullish,Neutral20,4,0,0.0,0.88,0.63,-0.03,3,75.0,1,25.0,0.0,0.0,0.0,0,0.0,0,0.0
