rank,fii_view,pro_view,count,percentage,top_to_down,ttd_pct,down_to_up,dtu_pct,avg_range_pct,avg_oc_pct,avg_range_ttd,avg_oc_ttd,avg_range_dtu,avg_oc_dtu
20,Bullish,Bullish,22,1.82,10,45.5,12,54.5,0.84,-0.01,0.86,-0.5,0.82,0.4
21,Mildly Bearish,Neutral20,19,1.57,9,47.4,10,52.6,0.93,0.11,0.92,-0.34,0.94,0.5
22,Mildly Bullish,Bearish,18,1.49,6,33.3,12,66.7,0.84,0.28,0.57,-0.21,0.98,0.52
23,Bearish,Neutral20,14,1.16,8,57.1,6,42.9,1.03,-0.05,1.02,-0.64,1.04,0.74
24,Bullish,Strong Bearish,14,1.16,8,57.1,6,42.9,0.69,-0.04,0.67,-0.27,0.72,0.27
25,Mildly Bullish,Strong Bearish,13,1.07,7,53.8,6,46.2,0.76,-0.04,0.8,-0.4,0.72,0.37
26,Bullish,Neutral20,13,1.07,4,30.8,9,69.2,0.87,0.3,0.74,-0.19,0.93,0.52
27,Bullish,Mildly Bearish,12,0.99,7,58.3,5,41.7,0.92,-0.19,0.91,-0.48,0.92,0.23
28,Mildly Bearish,Strong Bullish,12,0.99,4,33.3,8,66.7,0.88,0.01,0.97,-0.65,0.83,0.34
29,Bearish,Mildly Bearish,10,0.83,6,60.0,4,40.0,0.69,-0.03,0.72,-0.36,0.64,0.45
30,Strong Bearish,Bearish,9,0.74,5,55.6,4,44.4,0.87,-0.08,0.89,-0.4,0.85,0.32
31,Bearish,Strong Bullish,9,0.74,5,55.6,4,44.4,0.74,0.0,0.77,-0.18,0.7,0.24
32,Mildly Bullish,Mildly Bearish,8,0.66,2,25.0,6,75.0,0.77,0.31,0.88,-0.19,0.74,0.47
33,Bullish,Mildly Bullish,8,0.66,5,62.5,3,37.5,0.6,-0.12,0.63,-0.29,0.54,0.16
34,Mildly Bearish,Bullish,8,0.66,1,12.5,7,87.5,0.64,0.33,0.3,-0.02,0.69,0.38
35,Strong Bullish,Strong Bearish,6,0.5,3,50.0,3,50.0,0.79,0.07,0.71,-0.17,0.87,0.3
36,Mildly Bearish,Mildly Bullish,6,0.5,1,16.7,5,83.3,0.79,0.13,0.78,-0.55,0.79,0.26
37,Strong Bearish,Mildly Bearish,5,0.41,3,60.0,2,40.0,0.83,-0.19,0.91,-0.47,0.7,0.23
38,Strong Bearish,Neutral20,5,0.41,3,60.0,2,40.0,0.79,-0.02,0.86,-0.25,0.69,0.32
39,Strong Bullish,Bullish,5,0.41,1,20.0,4,80.0,0.84,0.24,0.95,-0.32,0.82,0.38
40,Strong Bullish,Mildly Bullish,5,0.41,3,60.0,2,40.0,0.7,-0.12,0.69,-0.4,0.72,0.3
41,Bearish,Bullish,4,0.33,0,0.0,4,100.0,0.83,0.36,0.0,0.0,0.83,0.36
42,Strong Bullish,Neutral20,4,0.33,3,75.0,1,25.0,0.63,-0.03,0.54,-0.2,0.9,0.45
43,Bearish,Mildly Bullish,3,0.25,2,66.7,1,33.3,0.76,0.09,0.53,-0.2,1.22,0.68
44,Strong Bearish,Strong Bullish,3,0.25,2,66.7,1,33.3,0.79,-0.01,0.78,-0.36,0.79,0.7
45,Strong Bullish,Bearish,3,0.25,1,33.3,2,66.7,0.64,0.02,0.78,-0.32,0.57,0.18
46,Bullish,Bearish,3,0.25,1,33.3,2,66.7,1.0,0.13,0.67,-0.05,1.17,0.22
47,Strong Bearish,Mildly Bullish,1,0.08,0,0.0,1,100.0,0.56,0.11,0.0,0.0,0.56,0.11
48,Strong Bullish,Mildly Bearish,1,0.08,0,0.0,1,100.0,0.45,0.06,0.0,0.0,0.45,0.06
49,Strong Bearish,Bullish,1,0.08,0,0.0,1,100.0,1.1,0.51,0.0,0.0,1.1,0.51
