rank,fii_view,pro_view,count,percentage,top_to_down,ttd_pct,down_to_up,dtu_pct,avg_range_pct,avg_oc_pct,avg_range_ttd,avg_oc_ttd,avg_range_dtu,avg_oc_dtu
1,Bullish,Strong Bullish,111,9.17,67,60.4,44,39.6,0.76,-0.1,0.76,-0.39,0.74,0.34
2,Neutral20,Neutral20,86,7.11,39,45.3,47,54.7,0.91,0.06,0.91,-0.36,0.91,0.4
3,Bearish,Strong Bearish,83,6.86,44,53.0,39,47.0,0.86,0.01,0.84,-0.36,0.89,0.42
4,Strong Bearish,Strong Bearish,64,5.29,37,57.8,27,42.2,0.84,-0.03,0.82,-0.36,0.87,0.44
5,Strong Bullish,Strong Bullish,62,5.12,25,40.3,37,59.7,0.74,0.07,0.71,-0.33,0.76,0.34
6,Mildly Bearish,Strong Bearish,58,4.79,26,44.8,32,55.2,0.88,0.02,0.87,-0.47,0.88,0.41
7,Neutral20,Strong Bullish,55,4.55,25,45.5,30,54.5,0.81,0.06,0.79,-0.34,0.84,0.4
8,Neutral20,Bearish,49,4.05,17,34.7,32,65.3,0.92,0.15,0.89,-0.42,0.93,0.46
9,Mildly Bullish,Strong Bullish,48,3.97,27,56.2,21,43.8,0.8,-0.1,0.78,-0.44,0.82,0.34
10,Neutral20,Mildly Bearish,47,3.88,27,57.4,20,42.6,0.88,-0.03,0.85,-0.32,0.91,0.36
11,Neutral20,Strong Bearish,45,3.72,25,55.6,20,44.4,0.77,0.01,0.72,-0.31,0.83,0.42
12,Neutral20,Mildly Bullish,42,3.47,23,54.8,19,45.2,0.91,-0.0,0.94,-0.39,0.87,0.46
13,Neutral20,Bullish,41,3.39,19,46.3,22,53.7,0.87,0.05,0.84,-0.42,0.89,0.46
14,Mildly Bullish,Bullish,39,3.22,20,51.3,19,48.7,0.77,-0.01,0.75,-0.34,0.79,0.35
15,Mildly Bearish,Bearish,36,2.98,23,63.9,13,36.1,0.82,-0.05,0.81,-0.3,0.85,0.41
16,Mildly Bearish,Mildly Bearish,27,2.23,10,37.0,17,63.0,0.86,0.03,1.0,-0.55,0.77,0.38
17,Bearish,Bearish,26,2.15,15,57.7,11,42.3,0.86,-0.15,0.84,-0.41,0.89,0.21
18,Mildly Bullish,Neutral20,25,2.07,9,36.0,16,64.0,0.84,0.07,0.8,-0.48,0.86,0.37
19,Mildly Bullish,Mildly Bullish,22,1.82,8,36.4,14,63.6,0.97,0.16,0.93,-0.53,0.99,0.55
